g_lat,roty
5.338693e-07,1.1814953e-07
-0.0014094061,0.00015263284
0.00077028153,9.363064e-05
0.00072008243,7.07801e-06
-0.00017715736,-1.8309658e-05
0.000119943135,-5.280221e-06
0.0001128795,3.7683435e-06
-2.3172224e-05,8.920857e-06
2.7759064e-05,1.8700209e-06
1.1831026e-05,-3.1206187e-06
-9.155709e-06,-1.4459927e-06
8.094073e-06,-4.4205006e-08
4.3301666e-06,3.944375e-07
0.0036380787,0.00025740493
0.0016282331,-4.51824e-05
-0.0028578432,-5.3178806e-05
-0.00011635501,-4.6675003e-05
0.00014358015,1.7468508e-05
3.2629163e-05,1.7900567e-05
2.9849374e-05,-8.13101e-06
4.4360342e-05,-9.909331e-07
2.6351203e-05,-7.4849913e-07
2.4955538e-05,-4.975231e-07
7.95238e-06,-4.2184067e-07
3.184655e-06,-2.7666642e-06
7.3918095e-06,-4.6898384e-07
-5.545209e-06,-1.1811865e-06
4.0704017e-06,-5.563372e-07
5.1498546e-06,-6.51546e-07
9.027053e-07,-3.8018547e-07
2.7792764e-06,1.8252393e-07
4.1763118e-07,1.7364101e-07
-3.0222134e-06,8.671757e-08
-7.924385e-07,2.6172813e-09
-1.6778956e-06,1.02685604e-07
-6.2725458e-06,2.2445161e-07
-1.3265347e-07,4.1084417e-07
-2.3565207e-07,1.7124558e-08
9.348182e-07,2.1681069e-07
-3.784293e-06,7.3820395e-08
-2.2405573e-06,2.2594283e-07
7.162687e-07,5.968421e-08
3.0355795e-06,1.3468362e-07
1.8540611e-06,-6.5515735e-08
3.4491184e-06,-5.2022553e-08
1.2789309e-07,-1.0438788e-07
-2.6409089e-06,-2.9230469e-08
1.6919404e-07,-4.9391236e-08
-2.229666e-06,-1.6712987e-08
-4.303685e-06,-2.2556236e-07
-1.442683e-06,-2.1259628e-07
-1.5084355e-06,-1.9027196e-08
-2.3725602e-06,-2.167631e-07
9.2901445e-07,7.94398e-08
-4.9026073e-07,1.8260197e-07
4.443074e-07,-1.3676896e-07
6.591119e-07,1.15261166e-07
3.8567958e-07,5.246326e-09
5.8203705e-07,1.18803825e-07
2.1245223e-06,-1.0157291e-08
1.1156817e-06,-3.739565e-08
-1.6650738e-06,1.5270872e-07
-1.9673523e-07,2.0644908e-08
-1.7261766e-07,-2.121292e-08
5.012255e-06,5.2877727e-08
-8.8778205e-07,2.1766365e-08
8.741992e-07,-7.196916e-08
3.1032775e-06,-4.339692e-08
-1.3481715e-06,-5.6290677e-08
-2.1354165e-06,-1.2019257e-07
-9.649253e-07,-2.1924217e-08
-4.6385585e-06,-1.6567961e-07
-2.8982274e-07,3.972575e-08
1.7905606e-07,-2.2133095e-08
9.882081e-07,9.768895e-08
-2.1714243e-06,-5.811779e-08
-2.82965e-06,-6.778675e-08
-9.953287e-07,3.6440397e-08
1.3876561e-06,-1.7349916e-07
1.1680778e-06,8.199124e-08
1.4313761e-06,2.3610232e-07
8.238993e-07,7.744058e-08
1.0583876e-07,1.9830228e-08
2.5054558e-06,2.4643638e-08
1.3866759e-06,2.3132568e-08
1.8919276e-06,-3.413193e-08
2.4600602e-06,-1.5937514e-08
-1.8746563e-06,-2.9382095e-08
5.0131775e-06,2.0090765e-07
-1.3213887e-06,-8.8035065e-08
1.0855808e-06,2.3440466e-08
-9.552865e-07,9.820218e-08
-2.5895713e-06,-5.2834146e-08
7.7234444e-07,5.268199e-08
-2.2902337e-07,-8.867488e-08
4.0937138e-07,-1.4725607e-07
4.4792573e-06,-1.06999074e-07
-1.3644732e-06,7.598641e-08
1.5378005e-08,1.5229239e-07
5.3056175e-07,1.6285898e-07
2.905685e-07,6.903307e-08
-1.7674935e-07,-1.6331192e-08
-3.1642935e-07,-9.074239e-08
2.479239e-06,7.2103754e-09
5.7848837e-07,2.2016629e-08
1.6479241e-06,2.6611395e-09
8.24832e-06,1.7202266e-08
1.985634e-06,1.1956824e-07
1.0369483e-06,-3.3865508e-08
-2.8333977e-07,1.2177946e-07
2.1247256e-06,8.374708e-08
2.98229e-06,-4.6520302e-08
3.2098712e-06,1.00078246e-07
-6.7030135e-07,-1.5039646e-09
1.7194762e-06,7.6615294e-08
-9.482294e-07,-5.0052197e-08
-2.2678641e-06,-7.753043e-08
-1.3780127e-06,1.458569e-09
-1.8259467e-06,6.281135e-08
-1.9556217e-07,-9.2698144e-08
5.3991043e-06,2.0117808e-07
1.454078e-06,2.682495e-07
2.905756e-08,7.435526e-08
-3.1820244e-07,5.888141e-08
-4.73569e-06,-1.4172907e-07
1.02384e-06,4.6791857e-08
2.483181e-06,1.1033907e-07
2.3453986e-06,-3.7294747e-08
8.2032693e-07,7.8532715e-08
2.6622683e-06,9.995139e-08
4.0989626e-06,-1.5739543e-08
-2.1293179e-06,-2.560252e-08
-9.3565285e-07,2.0717323e-08
1.2320357e-06,-3.0228748e-08
1.7115417e-06,5.497582e-09
4.4321537e-06,7.2851094e-08
5.3700055e-06,9.8697825e-08
-2.956882e-06,-3.1101454e-08
-2.046606e-06,-1.497159e-07
1.6088949e-06,-1.5163344e-08
2.98935e-06,1.3813477e-07
8.2413163e-07,2.2118307e-07
-1.6292912e-06,-1.2573853e-08
4.8051277e-07,-1.3419172e-07
-1.302952e-07,8.8757375e-08
1.2518975e-06,-8.991404e-08
2.8780373e-06,-4.304219e-08
-9.571818e-07,-7.878977e-08
0.008469866,0.0013964423
0.0074674976,0.00025672995
0.10231844,-0.017419705
-0.13243115,0.003686975
0.028419876,-0.0012824003
-0.08412625,0.008386884
-0.011973511,-0.0009326014
-0.02038756,-0.0008788459
0.0584911,0.0016633963
0.09131438,0.0018993443
-0.023240762,0.0005465064
-0.008252351,0.0022705446
-0.0016016513,0.00036307462
-0.026913697,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
