brake_temp_lf,brake_temp_rf,brake_temp_lr,brake_temp_rr,tyre_press_lf,tyre_press_rf,tyre_press_lr,tyre_press_rr,tyre_tair_lf,tyre_tair_rf,tyre_tair_lr,tyre_tair_rr
24.321226,24.321226,24.321226,24.321226,24.9,25.300001,24.5,24.6,70.0,70.0,70.0,70.0
24.321226,24.321226,24.321318,24.321318,24.9,25.300001,24.5,24.6,70.0,70.0,70.0,70.0
24.321226,24.321226,24.321545,24.321545,24.9,25.300001,24.5,24.6,70.0,70.0,70.0,70.0
24.321226,24.321226,24.322145,24.322145,24.9,25.300001,24.5,24.6,70.0,70.0,70.0,70.0
24.321226,24.321226,24.32172,24.32172,24.9,25.300001,24.5,24.6,70.0,70.0,70.0,70.0
24.321226,24.321226,24.321728,24.321728,24.9,25.300001,24.5,24.6,70.0,70.0,70.0,70.0
24.321226,24.321226,24.322517,24.322517,24.9,25.300001,24.5,24.6,70.0,70.0,70.0,70.0
24.321226,24.321226,24.321886,24.321886,24.9,25.300001,24.5,24.6,70.0,70.0,70.0,70.0
24.321226,24.321226,24.321949,24.321949,24.9,25.300001,24.5,24.6,70.0,70.0,70.0,70.0
24.321226,24.321226,24.322124,24.322124,24.9,25.300001,24.5,24.6,70.0,70.0,70.0,70.0
24.321226,24.321226,24.322065,24.322065,24.9,25.300001,24.5,24.6,70.0,70.0,70.0,70.0
24.321226,24.321226,24.322105,24.322105,24.9,25.300001,24.5,24.6,70.0,70.0,70.0,70.0
24.321226,24.321226,24.322578,24.322578,24.9,25.300001,24.5,24.6,70.0,70.0,70.0,70.0
24.321226,24.321226,24.322206,24.322206,24.9,25.300001,24.5,24.6,70.0,70.0,70.0,70.0
24.321226,24.321226,24.329271,24.329271,24.9,25.300001,24.5,24.6,70.0,70.0,70.0,70.0
24.321226,24.321226,24.353983,24.353983,24.9,25.300001,24.5,24.6,70.0,70.0,70.0,70.0
24.321226,24.321226,24.33434,24.33434,24.9,25.300001,24.5,24.6,70.0,70.0,70.0,70.0
24.321226,24.321226,24.334337,24.334337,24.9,25.300001,24.5,24.6,70.0,70.0,70.0,70.0
24.321226,24.321226,24.340824,24.340824,24.9,25.300001,24.5,24.6,70.0,70.0,70.0,70.0
24.321226,24.321226,24.335718,24.335718,24.9,25.300001,24.5,24.6,70.0,70.0,70.0,70.0
24.321226,24.321226,24.335876,24.335876,24.9,25.300001,24.5,24.6,70.0,70.0,70.0,70.0
24.321226,24.321226,24.336378,24.336378,24.9,25.300001,24.5,24.6,70.0,70.0,70.0,70.0
24.321226,24.321226,24.336031,24.336031,24.9,25.300001,24.5,24.6,70.0,70.0,70.0,70.0
24.321226,24.321226,24.336031,24.336031,24.9,25.300001,24.5,24.6,70.0,70.0,70.0,70.0
24.321226,24.321226,24.338104,24.338104,24.9,25.300001,24.5,24.6,70.0,70.0,70.0,70.0
24.321226,24.321226,24.336412,24.336412,24.9,25.300001,24.5,24.6,70.0,70.0,70.0,70.0
24.321226,24.321226,24.33652,24.33652,24.9,25.300001,24.5,24.6,70.0,70.0,70.0,70.0
